Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Algorithm,Ngrams,Feature Extraction,Training Dataset,Test Dataset,Test Distribution,F_Question_mark,Binary Representation,Stop words,Additional Settings,Fitting Time,Prediction Time
0.5313688212927756,0.5280306660277911,0.99909338168631,0.6909090909090909,1102.0,16.0,985.0,1.0,Support Vector Machine,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,,False,2.1762235164642334,0.5129222869873047
0.9035032135421381,0.9016009736916019,0.9984447900466563,0.9475548558496506,9630.0,351.0,1051.0,15.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,True,2.8698220252990723,6.198745489120483
0.9035032135421381,0.9016009736916019,0.9984447900466563,0.9475548558496506,9630.0,351.0,1051.0,15.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,True,2.8698220252990723,6.226483583450317
0.5342205323193916,0.5295530994714079,0.99909338168631,0.6922110552763819,1102.0,22.0,979.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,True,english,True,2.8698220252990723,0.6313107013702393
0.8804200235358016,0.8796059832178037,0.9998963193364437,0.9359017904798874,9644.0,82.0,1320.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,False,3.3400166034698486,7.951971530914307
0.8804200235358016,0.8796059832178037,0.9998963193364437,0.9359017904798874,9644.0,82.0,1320.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,False,3.3400166034698486,8.399496793746948
0.526615969581749,0.525488327775131,1.0,0.68894440974391,1103.0,5.0,996.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,True,english,False,3.3400166034698486,0.9798257350921631
0.9038653027971395,0.9016378100140384,0.9988595127008812,0.9477619281849483,9634.0,351.0,1051.0,11.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,,True,6.650832414627075,7.766340732574463
0.9038653027971395,0.9016378100140384,0.9988595127008812,0.9477619281849483,9634.0,351.0,1051.0,11.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,,True,6.650832414627075,7.203563928604126
0.530893536121673,0.5278044103547459,0.9981867633726201,0.6904985888993413,1101.0,16.0,985.0,2.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,True,,True,6.650832414627075,0.7461502552032471
0.8793337557707975,0.8785753324831481,1.0,0.9353634291810115,9645.0,69.0,1333.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,,False,3.9930548667907715,8.958168268203735
0.8793337557707975,0.8785753324831481,1.0,0.9353634291810115,9645.0,69.0,1333.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,,False,3.9930548667907715,9.013625860214233
0.526615969581749,0.525488327775131,1.0,0.68894440974391,1103.0,5.0,996.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,True,,False,3.9930548667907715,1.0984570980072021
0.9039558251108898,0.9024756189047262,0.9978227060653189,0.9477571520015756,9624.0,362.0,1040.0,21.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,english,True,2.63623046875,6.407233476638794
0.9039558251108898,0.9024756189047262,0.9978227060653189,0.9477571520015756,9624.0,362.0,1040.0,21.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,english,True,2.63623046875,6.1602699756622314
0.5346958174904943,0.5298076923076923,0.99909338168631,0.6924285265472825,1102.0,23.0,978.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,False,english,True,2.63623046875,0.7948729991912842
0.8823209921245587,0.8812939778854062,0.9998963193364437,0.9368564212162425,9644.0,103.0,1299.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,english,False,3.4642491340637207,7.862065315246582
